,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1517491844.0,0.065609,0.062913,0.064041,0.063573,0.063909,0.065301,0.062938,0.061493,0.057863,0.063273,0.060382,0.060381,0.066558,0.063952,0.058507,0.058571,0.065762,0.063597,0.065144,0.06372,0.064818,0.063329,0.061849,0.086537,0.063324,0.064416,0.061546,0.064795,0.063431,0.063347,0.06293,0.060023,0.062981,0.063303,0.061302,0.061465,0.06493,0.063514,0.06147,0.057223,0.063879,0.063368,0.063449,0.064349,0.062015,0.067574,0.06303,0.062918,0.071975,0.062369,0.064521,0.064345,0.064058,0.061617,0.0637,0.058406,0.064533,0.0603,0.057192,0.062114,0.064641,0.062201,0.063427,0.06362,0.064795,0.058276,0.056651,0.065975,0.055453,0.063381,0.058202,0.058989,0.073953,0.065579,0.064451,0.066313,0.064659,0.064766,0.057962,0.062933,0.057231,0.060259,0.059559,0.06317,0.064062,0.063347,0.064021,0.063659,0.060657,0.06852,0.064454,0.06154,0.06371,0.061423,0.067588,0.080053
1517493140.0,0.074969,0.072864,0.072827,0.074446,0.072422,0.0719,0.068487,0.066127,0.069277,0.060034,0.063554,0.066185,0.074653,0.074939,0.068935,0.073202,0.071967,0.071738,0.070604,0.067774,0.062507,0.067324,0.068219,0.082243,0.074622,0.073184,0.072812,0.072916,0.071427,0.065119,0.0693,0.070507,0.06084,0.069133,0.065802,0.066064,0.074006,0.071524,0.069825,0.064478,0.071081,0.070545,0.069666,0.06046,0.064315,0.068883,0.068236,0.069408,0.078058,0.074261,0.072574,0.073455,0.072143,0.066274,0.071797,0.068646,0.069752,0.071723,0.069383,0.065608,0.074197,0.07167,0.071905,0.070476,0.070843,0.072773,0.067446,0.070842,0.063607,0.068486,0.066343,0.065661,0.085162,0.074136,0.070623,0.074236,0.071898,0.066919,0.067111,0.070918,0.069598,0.063347,0.068577,0.065491,0.072155,0.071114,0.071215,0.07076,0.070091,0.069117,0.070494,0.070394,0.06753,0.069752,0.071471,0.082609
1517494438.0,0.087077,0.082021,0.081777,0.082738,0.081085,0.060991,0.0483,0.044766,0.045132,0.044801,0.044713,0.051872,0.087091,0.082701,0.084477,0.083078,0.081164,0.06427,0.054255,0.047056,0.045981,0.0528,0.049783,0.079247,0.087651,0.084505,0.083831,0.083063,0.081747,0.067078,0.052926,0.054739,0.047178,0.046353,0.049555,0.049244,0.083989,0.081033,0.078814,0.076328,0.078084,0.064942,0.05329,0.046606,0.054281,0.045647,0.044505,0.052913,0.09303,0.084216,0.083507,0.083197,0.081439,0.065765,0.054789,0.055839,0.054332,0.047363,0.048374,0.050138,0.084454,0.0821,0.080818,0.080187,0.081169,0.071886,0.055141,0.05293,0.046422,0.051348,0.045679,0.051283,0.096858,0.085672,0.086266,0.083805,0.084609,0.08164,0.064005,0.054399,0.053096,0.049809,0.049662,0.048221,0.082564,0.080398,0.079943,0.079403,0.079356,0.082987,0.076047,0.064881,0.060765,0.060243,0.062934,0.08558
1517495734.0,0.094415,0.091516,0.088233,0.091245,0.06835,0.055801,0.045928,0.043436,0.04431,0.043751,0.043658,0.049323,0.107,0.092133,0.088998,0.083536,0.071811,0.058766,0.053573,0.051083,0.047397,0.051398,0.049152,0.062958,0.097497,0.092589,0.091405,0.084896,0.077724,0.065563,0.051228,0.050086,0.047104,0.045279,0.050854,0.046183,0.093836,0.091912,0.087957,0.085703,0.075606,0.064562,0.052097,0.045284,0.048099,0.044563,0.046746,0.049368,0.099853,0.09288,0.092784,0.089798,0.078915,0.067827,0.053714,0.051615,0.050819,0.045803,0.044921,0.046595,0.095162,0.089736,0.089865,0.088315,0.088365,0.074834,0.05406,0.053132,0.048634,0.05225,0.044487,0.052978,0.1096,0.099364,0.098516,0.095203,0.095589,0.091755,0.063464,0.048811,0.045269,0.047043,0.04605,0.046191,0.09351,0.091409,0.090437,0.089692,0.090365,0.094382,0.073557,0.055202,0.051225,0.050403,0.059456,0.075345
1517497032.0,0.11134,0.10659,0.10475,0.09539,0.070739,0.052969,0.045139,0.046827,0.044577,0.043892,0.043393,0.045913,0.11974,0.1042,0.1055,0.093514,0.070964,0.055712,0.049857,0.051665,0.049365,0.050368,0.048785,0.062045,0.11841,0.10475,0.10272,0.097669,0.079708,0.062293,0.054197,0.04763,0.045403,0.045316,0.049241,0.045536,0.10812,0.10158,0.0978,0.095993,0.079145,0.061388,0.051242,0.047858,0.048843,0.043784,0.042603,0.054337,0.12337,0.10693,0.10347,0.099258,0.083533,0.064796,0.05644,0.051932,0.053448,0.047744,0.043748,0.050856,0.10935,0.10424,0.10511,0.10146,0.09131,0.072377,0.058606,0.045464,0.044753,0.050712,0.04301,0.049142,0.12754,0.1155,0.11504,0.11243,0.10966,0.090872,0.064442,0.052858,0.044597,0.04578,0.04544,0.044299,0.10886,0.10276,0.10327,0.10137,0.10186,0.10531,0.076977,0.053486,0.049787,0.049045,0.051669,0.067543
1517498328.0,0.13462,0.12464,0.1259,0.10013,0.065214,0.053948,0.046457,0.04461,0.050691,0.044398,0.047989,0.04685,0.13759,0.12952,0.13224,0.1025,0.073235,0.051131,0.05291,0.052642,0.050602,0.050477,0.049645,0.063942,0.14622,0.1296,0.12768,0.11279,0.088748,0.057523,0.055507,0.051376,0.049174,0.051098,0.049732,0.045013,0.13517,0.12576,0.12396,0.11397,0.086213,0.058055,0.056726,0.044851,0.051485,0.043428,0.043013,0.052481,0.14571,0.12952,0.12805,0.12191,0.092267,0.059894,0.057097,0.0472,0.052714,0.045127,0.043375,0.05113,0.14159,0.129,0.13116,0.12781,0.10781,0.071915,0.056765,0.051446,0.043569,0.048349,0.045154,0.049159,0.16162,0.14124,0.13958,0.1354,0.13491,0.096168,0.061355,0.054551,0.044563,0.044863,0.04485,0.044637,0.12662,0.12064,0.11904,0.11873,0.11965,0.11928,0.081564,0.053697,0.048819,0.048481,0.051505,0.063333
1517499626.0,0.17093,0.16001,0.15255,0.10234,0.061441,0.054384,0.045983,0.04911,0.050555,0.042804,0.043077,0.049674,0.1781,0.15978,0.15783,0.11118,0.070332,0.052169,0.05198,0.053347,0.050583,0.050045,0.048287,0.062864,0.17499,0.15816,0.1583,0.13132,0.093457,0.054547,0.054499,0.051223,0.050846,0.048469,0.049668,0.043013,0.15892,0.15181,0.14985,0.1296,0.094826,0.05768,0.055517,0.047867,0.051014,0.043026,0.048557,0.050883,0.17547,0.15693,0.15431,0.1509,0.10936,0.057708,0.056315,0.051045,0.052601,0.053356,0.047449,0.050068,0.18084,0.1611,0.16595,0.15814,0.13058,0.071444,0.049936,0.051252,0.04327,0.050213,0.045107,0.044078,0.19381,0.17597,0.1695,0.16022,0.16151,0.10924,0.057228,0.05391,0.044143,0.044572,0.049114,0.043723,0.14951,0.13965,0.14177,0.13895,0.14177,0.13564,0.087221,0.054718,0.048303,0.047857,0.051893,0.070331
1517500924.0,0.20691,0.19259,0.17087,0.093137,0.05828,0.053474,0.049951,0.047796,0.050061,0.044378,0.049206,0.049048,0.20827,0.19554,0.17973,0.11336,0.067762,0.053619,0.051355,0.054573,0.049998,0.044812,0.049267,0.056684,0.20542,0.19219,0.18741,0.15529,0.097696,0.053101,0.053348,0.050817,0.050538,0.050742,0.049291,0.043548,0.19273,0.18465,0.18064,0.16065,0.10278,0.058175,0.053751,0.049403,0.050849,0.042771,0.04615,0.051757,0.21192,0.19038,0.18808,0.18097,0.12284,0.058296,0.05442,0.051028,0.052265,0.052665,0.049688,0.049824,0.22179,0.19795,0.20745,0.196,0.15859,0.074114,0.05439,0.051004,0.042974,0.049566,0.043631,0.04732,0.2301,0.20798,0.20599,0.20031,0.19858,0.12909,0.055205,0.053474,0.043619,0.044512,0.046887,0.044262,0.17257,0.1705,0.16703,0.16354,0.16764,0.16817,0.096524,0.056026,0.04796,0.048038,0.05148,0.069768
1517502220.0,0.23978,0.2254,0.19145,0.082408,0.057126,0.05286,0.049586,0.048639,0.049897,0.049241,0.04928,0.048808,0.24081,0.23175,0.21064,0.10573,0.066473,0.054715,0.050969,0.050981,0.050222,0.046457,0.049543,0.066808,0.23985,0.22235,0.21826,0.17924,0.10002,0.061366,0.052329,0.050743,0.050079,0.050657,0.049016,0.041981,0.22638,0.21777,0.21512,0.17268,0.11456,0.062114,0.052714,0.049856,0.050502,0.042481,0.041782,0.053692,0.24683,0.22822,0.22223,0.21844,0.14863,0.058676,0.053352,0.05092,0.051954,0.051844,0.045034,0.049721,0.26516,0.23875,0.24702,0.23426,0.19333,0.086293,0.054759,0.050511,0.042984,0.049808,0.045486,0.044515,0.27871,0.24544,0.24307,0.23445,0.23607,0.15227,0.057875,0.05347,0.043381,0.043951,0.047897,0.043083,0.20372,0.20049,0.19535,0.19219,0.20117,0.1968,0.10776,0.058174,0.047669,0.047124,0.052028,0.071627
1517503518.0,0.27727,0.26608,0.22143,0.076124,0.056669,0.052616,0.049594,0.049049,0.049711,0.049057,0.049368,0.048749,0.28158,0.27068,0.2465,0.10072,0.06525,0.054318,0.050696,0.049371,0.049414,0.049514,0.049547,0.057372,0.28212,0.26553,0.26321,0.20474,0.09571,0.060532,0.051758,0.050732,0.050078,0.050434,0.049016,0.044367,0.27104,0.25967,0.25236,0.20299,0.11865,0.062749,0.051948,0.049755,0.050414,0.042254,0.041751,0.05072,0.28696,0.2657,0.26055,0.25585,0.17422,0.061022,0.05292,0.050992,0.051896,0.051327,0.042682,0.046023,0.30556,0.27898,0.28884,0.28532,0.2256,0.095799,0.054907,0.050497,0.043738,0.044461,0.04427,0.049016,0.32154,0.29623,0.28514,0.27364,0.27445,0.17706,0.063354,0.053421,0.043401,0.044716,0.044826,0.044445,0.24866,0.23565,0.23545,0.22786,0.2377,0.23348,0.12313,0.060417,0.047587,0.047207,0.057099,0.063661
