,Growth Rate,Lag Phase
A1,0.26438684988695665,0.9967911679919355
A2,0.6074615489879127,-0.2375854231681651
A3,0.6052310067794263,-0.2607008896020293
A4,0.0,0.0
A5,0.0,0.0
A6,0.5794805059566418,-0.2990584822323241
A7,0.5782550327667765,-0.24125108424962227
A8,0.0,1.7489466590190865
A9,0.0,1.5287350603325827
A10,0.0,1.7433694807564457
A11,0.0,1.6611647545950916
A12,0.0,1.7627924342532353
B1,0.5216441211213128,-0.28174843606284505
B2,0.29231194146605716,0.5793751869735839
B3,0.0,0.0
B4,0.0,0.0
B5,0.0,0.0
B6,0.24126069914742237,0.9308674262723224
B7,0.0,1.6645270855820442
B8,0.0,1.600125440329684
B9,0.0,1.6235024629157309
B10,0.0,1.8667089664262981
B11,0.0,1.783411792314645
B12,0.0,1.5919625114919178
C1,0.5455961792064397,-0.31157588598028263
C2,0.4784985333642074,0.36250783810390796
C3,0.5131927939942711,0.7338521206490918
C4,0.3946661222297295,0.5909243657503578
C5,0.0,0.0
C6,0.0,5.7442579644820935
C7,0.0,1.921107144371426
C8,0.0,2.0541870643709608
C9,0.0,1.8622296264912066
C10,0.0,1.9294196372897083
C11,0.0,1.786233523889134
C12,0.0,2.014628424206201
D1,0.5810037584243757,-0.2665135072192134
D2,0.0,0.0
D3,0.31317838021664846,1.1336299641311016
D4,0.21915425729308133,1.1485071719967985
D5,0.0,0.0
D6,0.0,0.0
D7,0.0,0.0
D8,0.0,0.0
D9,0.0,0.0
D10,0.4228931160035747,-0.18626543854659405
D11,0.0,1.6206942441809318
D12,0.0,1.816614955377574
E1,0.6036802827327137,0.4408078580823718
E2,0.5239810732859922,0.11369461066345377
E3,0.5593741546623238,0.5524699503503712
E4,0.5191444512673119,0.4869637168547829
E5,0.4365671712836019,0.42477821998512066
E6,0.4444763148543912,1.3071365782151476
E7,0.4277381155838037,2.8180090834358276
E8,0.0,1.4868396393702525
E9,0.0,1.9225809594109826
E10,0.0,1.8247838684045519
E11,0.0,1.7059347563154574
E12,0.0,1.6954476365233546
F1,0.6004889684866066,-0.20427380755012958
F2,0.5810320645532945,-0.21582626132409322
F3,0.365425823969346,0.6576736851077833
F4,0.2855936502840054,1.32689069084118
F5,0.5407485646476244,-0.20591250159178598
F6,0.0,0.0
F7,0.0,0.0
F8,0.0,0.0
F9,0.0,0.0
F10,0.28217282742941074,0.7007338298134851
F11,0.0,1.2879011347198812
F12,0.0,1.7096386571562974
G1,0.5344323502481483,-0.24301384196718168
G2,0.8217304834510036,0.7068667776170536
G3,0.8179822157182972,0.7484370031914223
G4,0.8040399921792323,0.7871444299467916
G5,0.6491160386497903,0.1714943664980244
G6,0.5509618153589215,0.890896733523475
G7,0.38187945339257734,5.608590436277747
G8,0.0,0.0
G9,0.0,1.702855297231821
G10,0.0,1.6897008603530566
G11,0.0,1.7450485850650281
G12,0.0,1.7527222963923421
H1,0.9128641723660892,0.6575474897804914
H2,0.8806912787384671,0.629695658968128
H3,0.5845227520124021,-0.19161669316233432
H4,0.41941163295642175,0.03378034665167284
H5,0.4328600075679637,0.5990283546754211
H6,0.5532233380110958,-0.18017377252187872
H7,0.38671345792070655,0.016605891856985355
H8,0.6889572532048579,0.29397260285880256
H9,0.6619798944247991,0.28414339994918913
H10,0.5675184629604106,-0.2197060688313699
H11,0.5630791753277281,-0.21317803709405736
H12,0.0,2.6721159020711234
