,Growth Rate,Lag Phase,yield
ptsH,0.553950522875,2.13362097649,0.263848974359
ptsH.1,0.506397143011,2.06432499748,0.264602553191
ptsH.2,0.513666974348,2.17077614518,0.255314326241
ptsH.3,0.506261073661,2.20989307582,0.280471527778
ptsH.4,0.46877388439,2.42209119111,0.283779565217
ptsH.5,0.482914958829,2.12977134114,0.261387891156
ptsH.6,0.509756203552,2.35203971536,0.266809078014
ptsH.7,0.471891440964,2.17610986652,0.257627391304
WT,0.494494934805,2.38197135037,0.263589777778
WT.1,0.498193231897,2.25298888034,0.246482413793
WT.2,0.501078420231,2.35461094439,0.253174482759
WT.3,0.480573944659,2.46810572544,0.248995833333
WT.4,0.479382167083,2.49676865836,0.251646432749
WT.5,0.486373503859,2.44192845909,0.242207393939
WT.6,0.481793256629,2.41951891265,0.242944606061
WT.7,0.473104650083,2.60406608472,0.240743144654
ygjP,0.490894846186,2.6256649496,0.212024957265
ygjP.1,0.481174899701,2.4592083726,0.205252105263
ygjP.2,0.472747131565,2.49151011494,0.206322
ygjP.3,0.469915312616,2.60766866107,0.200791544715
ygjP.4,0.446937260499,2.41598053669,0.203774285714
ygjP.5,0.462342995794,2.70615271281,0.195380141844
ygjP.6,0.658161478918,3.70638674001,0.266884285714
ygjP.7,0.446089412862,2.59897417151,0.195652296296
yigZ,0.526782866435,2.28770902574,0.264334482759
yigZ.1,0.522361720988,2.38406025386,0.251891724138
yigZ.2,0.476626387748,2.14179381814,0.256999404762
yigZ.3,0.512494390465,2.39027725801,0.260227368421
yigZ.4,0.506766817362,2.45925009651,0.259488641975
yigZ.5,0.507107575019,2.41166903788,0.263563333333
yigZ.6,0.504275884741,2.42802659306,0.260282666667
yigZ.7,0.501209625471,2.44298979279,0.253479874214
ykfF,0.524415026244,2.27799652671,0.263715698925
ykfF.1,0.503324871844,2.30439279969,0.257435238095
ykfF.2,0.507760546884,2.42066995244,0.255802372881
ykfF.3,0.602864701202,2.75308799268,0.255518555556
ykfF.4,0.512333096824,2.50066912042,0.279843728814
ykfF.5,0.495319117045,2.37463346247,0.255264444444
ykfF.6,0.464292852494,2.81821016991,0.371658119658
ykfF.7,0.491578443291,2.4334952352,0.279562962963
yobH,0.515601330106,2.40741704831,0.25887625731
yobH.1,0.520742105756,2.39645923854,0.261171358025
yobH.2,0.505220653656,2.41063564322,0.259138266667
yobH.3,0.510252349729,2.58049794087,0.282978383838
yobH.4,0.499745260401,2.31694650497,0.249275151515
yobH.5,0.510976209211,2.42887407187,0.270191171171
yobH.6,0.48938731655,2.37532835073,0.248714482759
yobH.7,0.493607083567,2.35884117716,0.244108214286
yphG,0.544609246263,2.16090907135,0.268149310345
yphG.1,0.517320159578,2.06767573733,0.263324285714
yphG.2,0.504811264466,2.142356981,0.258618333333
yphG.3,0.500924462867,2.13962764997,0.253208095238
yphG.4,0.497361045128,2.2314244002,0.255065238095
yphG.5,0.510992456673,2.08231164786,0.334901975309
yphG.6,0.498846600825,2.17762078301,0.257131111111
yphG.7,0.496054296798,2.10526750116,0.251406327684
yqjE,0.538281497205,2.3611840426,0.219599543379
yqjE.1,0.503634733551,2.25576003079,0.207007777778
yqjE.2,0.489875027232,2.33083533398,0.211070422535
yqjE.3,0.491255481201,2.36868778877,0.209692139303
yqjE.4,0.489340860934,2.39493659616,0.209688615385
yqjE.5,0.494721622765,2.37565496431,0.244539316239
yqjE.6,0.478502282524,2.34795733133,0.2039
yqjE.7,0.504077666186,3.02074678171,0.313690444444
Unnamed: 65,,,
Unnamed: 66,,,
Unnamed: 67,,,
Unnamed: 68,,,
Unnamed: 69,,,
Unnamed: 70,,,
Unnamed: 71,,,
Unnamed: 72,,,
Unnamed: 73,,,
Unnamed: 74,,,
Unnamed: 75,,,
Unnamed: 76,,,
Unnamed: 77,,,
Unnamed: 78,,,
Unnamed: 79,,,
Unnamed: 80,,,
