,R1,R2,R3,R4,R5,R6,R7,R8
WT,0.5514704351270167,0.5682299228419359,0.5468820184813893,0.5397409703337542,0.5326893194556803,0.5383719834572374,0.5341849154923711,0.5339105468405737
agaV,0.5865402112231344,0.5675813848358949,0.5552227930417837,0.559622307650644,0.5524922440750485,0.5340048207993913,0.5418392867549922,0.5457930964037049
gltK,0.5227462241551251,0.5171812400554221,0.5163376296714813,0.5114265642436299,0.5067861534432735,0.5089297526757014,0.4941910542130308,0.4961906377523736
gspF,0.5738380919051512,0.5665186206578076,0.5570163127588573,0.5530466741043354,0.5444166384448477,0.5421899695385825,0.5316567938080852,0.5322190159641191
mtlD,0.5733254157542818,0.5749281246024802,0.5599224467080726,0.5693294021769613,0.5561488509847593,0.5667066646551406,0.5506193912766932,0.5600344231289289
rarD,0.5589590757220018,0.5512140457785221,0.5372967266160098,0.5531540358754587,0.5527367591603591,0.5305845594957725,0.5422402164488591,0.5444904545919325
rsd,0.5662012719049248,0.5668227612562101,0.5648781801933139,0.5632886020724758,0.5586928269131181,0.5480895059486859,0.5476952460155294,0.5595464686971139
uxaB,0.6159525596775004,0.6098366247730198,0.5920897686706592,0.5956800856143221,0.5892825545043172,0.5822225525008367,0.5829509228460802,0.5834684174448204
yagS,0.5727105581203484,0.5774165952117937,0.5660197746555437,0.573440675220879,0.5589662071725994,0.5670767314742327,0.5636352207127963,0.566774108023782
zapE,0.5627183124304721,0.5736878427012178,0.5611213197702704,0.5658720631364619,0.5496821147099804,0.5468100078779562,0.5476506740254473,0.5541217388116471
WT,0.51338932280591,0.4946562517565393,0.5098898730007758,0.4899741676985523,0.488975957771441,0.4780974861511753,0.483214641176572,0.4927796735406853
atos,0.4933105237217138,0.7513865776998264,0.4960330780707785,0.4964281403088351,0.4984696784812915,0.489440195121718,0.4896733776039153,0.4923071324103088
bglF,0.5442848026613811,0.5118052655753553,0.5127848020490924,0.4992781626137768,0.5045321659559335,0.4919013819073103,0.4931765096518239,0.4845042068723397
dcuA,0.5502810918901618,0.5414841938135259,0.5400925778449375,0.5264686226103034,0.5224143519821068,0.5112473166710785,0.5127773173608713,0.5068618860158511
eptA,0.5161183289887813,0.5077380206382988,0.446989726382389,0.5089629448380466,0.5039565865668176,0.4940469743404998,0.5026633290316298,0.4943662992090591
eutQ,0.5086014412563211,0.5016714066721808,0.4905370829006556,0.5012485180272832,0.5011540661259835,0.4949447736878035,0.4943528823747191,0.4619386107256666
flgD,0.5195977286484492,0.5149087039972104,0.5168673378286295,0.5023408869341729,0.5026632793438247,0.4962720950956275,0.4809364255010755,0.4918484383465971
glf,0.5290484949495293,0.5077787752651108,0.4839332308063531,0.4974540987685165,0.4872191040832624,0.4841981929467926,0.4859781300218927,0.47177736491135797
gltL,0.5352877263988578,0.4949351216739563,0.4950293339143878,0.4869526503009532,0.4800806079869031,0.4466652418417281,0.4593493403894522,0.4663805558815321
gnsA,0.5414553807469654,0.5129538290225646,0.5230463201945978,0.5226442944266719,0.5184166468852028,0.5194901809692264,0.5120759115959168,0.5106574543561458
WT,0.5300921117792896,0.5090136136762079,0.5094980624415252,0.4843577321706529,0.4914262901803628,0.4713603894125272,0.487025076450794,0.4798549243816572
cstA,0.5278067838666997,0.4708449120518373,0.4076912613870048,0.5043693951819371,0.4917639257663001,0.47238910049173993,0.4827449411559258,0.4734106054496242
dcp,0.5479998233416713,0.5606847558724297,0.5490926313207998,0.5363400295656047,0.5380962062691166,0.5237757448937213,0.5282852929241703,0.5408989023054475
gltD,0.5544291201393271,0.551198128768676,0.5552388274519662,0.5177290789527148,0.547233675422289,0.5418558624955401,0.5401952636113669,0.5290789865420802
mprA,0.608906295014582,0.5984875774898423,0.5868760121181112,0.5817403691176861,0.5790518276574556,0.5642388126515454,0.5718418431470363,0.5603702931446366
norW,0.5702991380006477,0.5729468043291353,0.4437878079835802,0.5587603184357139,0.5341134992202005,0.5649541105527698,0.556250752799244,0.5671216011084891
tyrB,0.497294466610567,0.4810973422837927,0.4839520395422653,0.4831903614556303,0.4708639522682799,0.491069352306911,0.4726124374535716,0.4804413429518463
yggE,0.5453267633542059,0.5282566968292701,0.5368852352630303,0.5236090330443358,0.523843176551914,0.5189356889168072,0.5111456558763737,0.5017758278880688
yicH,0.6671184473117869,0.5282467638280727,0.5280397339612177,0.5083823233969671,0.4998916853247851,0.4855076447603143,0.4908279677027381,0.4814100069453772
yicM,0.5569207799377272,0.5589692124493797,0.5580773885450451,0.5385237539964131,0.5438144357223864,0.5356706015778575,0.5399183227300187,0.5216767758675694
WT,0.5361997677690232,0.5352123819610377,0.523587649592433,0.5255823271149004,0.5053774175291137,0.501848250779913,0.496626870402666,0.5056792235012638
appY,0.5334941938464306,0.5438167192172908,0.5371773157485458,0.5267719211691012,0.5125245824641775,0.5084045999012257,0.5078832940427089,0.5104884602946459
gspL,0.5474879590031477,0.5420573970884065,0.5420931134860182,0.5387100361270668,0.5439290467124095,0.5413752012115767,0.5275036603114582,0.5204256463268097
lsrc,0.5397468575251085,0.5481760766190865,0.5333371984100003,0.5381809486588439,0.5334626955623395,0.524117611917206,0.5245766369955832,0.5278397737191478
ompL,0.44188735123622,0.4362523121878793,0.4374023403709105,0.43285286251472255,0.4262839369613625,0.42440040469286416,0.42935381822602775,0.4231619505772231
ycaL,0.523022909942408,0.5205949558977672,0.5228694429361916,0.5323005796583442,0.5275803317533211,0.5289929665375883,0.5105527637652865,0.5022358656421493
yfiD,0.5307586426396949,0.5433400978728333,0.525452285158643,0.5161204928554339,0.5116816852102989,0.5008078086824002,0.502223392500194,0.506736022072158
yhbP,0.5161293559167093,0.5192432424552929,0.518569700994815,0.5222186906429055,0.5184532516901059,0.5191717762132539,0.5192929792650306,0.5148548823223476
yjfJ,0.5517062375385814,0.5452664390066622,0.5387044756086214,0.5313429447299283,0.5413884537500494,0.5383099668071334,0.5384988264372974,0.5377248990301098
yjfL,0.5105759195901289,0.507724361494198,0.5061291605038144,0.4937880444711992,0.4933215209257095,0.488368072240927,0.491256485259549,0.4793716779874895
WT,0.494494934804945,0.4981932318972634,0.501078420230696,0.4805739446594463,0.4793821670832046,0.4863735038592163,0.4817932566291762,0.4731046500831445
ptsH,0.5539505228747942,0.5063971430114168,0.5136669743475256,0.5062610736611753,0.4687738843898717,0.4829149588290796,0.5097562035517479,0.4718914409641956
ygjP,0.4908948461855995,0.4811748997005102,0.472747131565,0.469915312616293,0.4469372604985755,0.4623429957938536,0.6581614789178077,0.4460894128617693
yigZ,0.5267828664354833,0.5223617209876122,0.476626387747652,0.5124943904650203,0.5067668173624531,0.5071075750192275,0.5042758847412973,0.5012096254714735
ykfF,0.5244150262439212,0.5033248718440763,0.5077605468838385,0.6028647012015556,0.512333096823656,0.4953191170451891,0.4642928524940474,0.491578443290529
yobH,0.5156013301056429,0.5207421057562298,0.5052206536560355,0.5102523497288131,0.4997452604007924,0.5109762092106896,0.4893873165499833,0.4936070835670849
yphG,0.5446092462633723,0.5173201595784341,0.5048112644662511,0.5009244628667003,0.4973610451276974,0.5109924566730891,0.4988466008246042,0.4960542967978369
yqjE,0.5382814972049287,0.5036347335506012,0.4898750272323375,0.4912554812006093,0.4893408609341662,0.4947216227647629,0.4785022825242382,0.5040776661862005
WT,0.5146015310430149,0.4980634324624139,0.4988170881240058,0.4865040514315661,0.4982164046838767,0.48776855296684,0.4896133146150211,0.49386628675729705
cstA,0.5099804532943567,0.5014514043272482,0.4934907441711732,0.4927145183579129,0.49429150725185206,0.4839696803618353,0.4914637873188229,0.4869119482058944
idnD,0.5134312206470816,0.5045282329534384,0.5166684947902312,0.5037649378548983,0.5046067762756007,0.4983214864166796,0.5029058408885851,0.4928484929034725
intG,0.5285695192231725,0.5178480715535881,0.5160548304593219,0.5048142930704862,0.5199326277701471,0.5039382701170718,0.5178935786481305,0.5128850223251691
mprA,0.581196709966165,0.5778992782615893,0.5844922310840481,0.5713860800627862,0.5597246632624381,0.5654481664831787,0.5680430387483155,0.5575190669745319
narD,0.5272843349682435,0.5091353768163697,0.5164772699733048,0.5028594810986713,0.499844255322683,0.4844360813210436,0.4909542451336418,0.4838058337687527
norV,0.521333304327685,0.5106639084941315,0.5085557592097161,0.4967507199316391,0.4900090017636781,0.479040953696418,0.4920376298332118,0.4816751398667457
tyrB,0.4822107425433891,0.4711128764938368,0.4684814113821973,0.4698716306821858,0.4653406234189517,0.4627577042301066,0.4611503937079461,0.4570074773755301
yeeW,0.5226752219593682,0.5116624737800106,0.515084480223056,0.496396730184584,0.5015628312717135,0.4935711717067993,0.4999968688488445,0.4831571757466554
ygfO,0.5382588806967561,0.5281781619988482,0.511793003758862,0.5161419178588499,0.5193322116614248,0.5058754690146589,0.5153354549606288,0.5035015879522092
WT,0.5121376193299018,0.4964905088581402,0.4857273103873558,0.4863101079946573,0.4798407493616199,0.4751964807217629,0.475063720653602,0.4784231217030738
alsB,0.5282897629934071,0.5293739147821215,0.5174185208362791,0.5185597999182179,0.510113433362488,0.4961628698626188,0.4957141660977203,0.4943562123246619
ascG,0.5079983641007123,0.5089956290594286,0.4983550403866322,0.49772221566736796,0.4879798884979037,0.4852768266684801,0.4804708886454882,0.4847760063395573
pflD,0.5129542646587167,0.4991451602327681,0.4914822347574835,0.4885048542013688,0.4932514616424549,0.4941386746711729,0.4964871554590674,0.4991732704208962
treC,0.4957478154815559,0.4798834981821603,0.4742826268566293,0.4685982738747901,0.4697461119885281,0.4635802221706434,0.4731122396339345,0.4630774396078393
xdhC,0.4898434920687986,0.4907662946825511,0.4786947718050741,0.4958597905536475,0.4860296364443763,0.478669939688552,0.4713137314783617,0.4686713619031641
yggF,0.5025008249623529,0.5127163662787464,0.4997341966864794,0.5104534678049331,0.5029396444274803,0.5071583287856014,0.5013210470109373,0.5048745253841653
yihV,0.4811815910937458,0.4764674058491707,0.4691568295781856,0.4848075667877778,0.4817959153601303,0.4753884247259283,0.4651296832609424,0.4687446829498272
yjeL,0.4941721818644032,0.4821606190776328,0.4860164268285481,0.4773276415040517,0.4811789179021398,0.4712548585390257,0.4760699712516682,0.4675400537141517
yjfF,0.4872173022374014,0.4945302034401172,0.4814172692186788,0.4697936748825183,0.4830015978277157,0.4866629595679951,0.4794142906477466,0.4906535962283026
WT,0.5364059417258835,0.5302404202247796,0.5263609677658502,0.5094048897665696,0.5121350995673759,0.5099159733252436,0.5054380262724033,0.5511475693414148
citT,0.5580434312440871,0.564502086833268,0.5393498471045023,0.5458153657617739,0.5317480893462182,0.5249776444283758,0.5192255087381584,0.5193405970305689
xdhC,0.6297655442264287,0.5050889117365708,0.4879697506223237,0.506410050516544,0.4852055390473856,0.5065964341305244,0.4891909369469594,0.4622442289767267
ybdG,0.5112791140966758,0.4936736169624234,0.6650153288242217,0.6861874533557937,0.6379059187908537,0.8052541536600565,0.8102696979262719,0.7082828800913704
ycfX,0.538606986930669,0.5184161306238027,0.5164700990388718,0.5251921044285603,0.5278396172848777,0.5112321121980324,0.521671605001796,0.5144406551849099
yifL,0.5330686586559447,0.5156473728761692,0.5139381471219395,0.5187910735489631,0.5026472423367625,0.4998775868587181,0.4963777396671986,0.48313057201539206
yjfJ,0.4953422364086102,0.4946507303565277,0.4764021361899735,0.4678992562224779,0.4613218550454602,0.4572180486568028,0.4598272863406672,0.4591873653205426
ykfI,0.5258435964434766,0.5330140603339291,0.5238060002862175,0.5061999283146882,0.5184875280053562,0.5092463205904836,0.502212259168844,0.5127255441058752
ytfF,0.5416209567453428,0.5365920453734169,0.5131441730011639,0.5299582548690509,0.5105093404399398,0.5063780734595313,0.5109345608393077,0.499748935064808
ytfL,0.4829834590341386,0.4819137773428067,0.4698434427051536,0.4735878188366013,0.4644310074717466,0.4726785598706059,0.4754171887822709,0.469619493246249
WT,0.5096711513455117,0.4908463058204835,0.4988426392715923,0.4903238207684286,0.490921795369474,0.4855999556447242,0.4926007427110565,0.5054023023158332
caiB,0.5284843006476786,0.5126621169067546,0.5136723332112245,0.5155035337195649,0.511275750303288,0.5094858895067885,0.5064716297168088,0.5007219049710202
gspM,0.5176448577780194,0.5132890077861272,1.1317275276471808,0.5002708493028873,0.5085834816643274,0.5051506440520177,0.5105030643871893,0.4974925244398822
melA,0.5135465045841989,0.5065486292792271,0.5130732726324292,0.4994195358741162,0.4893190502135195,0.4844670385584891,0.7344559834995799,0.4902457340366949
syd,0.5073971527390961,0.5032958067677745,0.5077068872852649,0.496023193128944,0.4996979218009005,0.4785065106120774,0.4961324503798086,0.497573625592225
ybaJ,0.5154043178559645,0.5115757255198341,0.5165597398636156,0.4979198086984205,0.5096706017967622,0.5051391459235028,0.5068881297117219,0.5518001209653829
ydjK,0.498819817503111,0.5009136290501734,0.4975802072590574,0.4978672862590894,0.49558987883032,0.6626669665680444,0.4932902066084257,0.4873598226191561
yhbW,0.5040705831939303,0.5059557887300662,0.5066435747456672,0.5105215545255347,0.5032035033775861,0.5079383452788403,0.5099694862962023,0.4927588752922559
yhcM,0.504642383592767,0.4991990452181566,0.5029493342294099,0.4852565533396101,0.5021845175550852,0.4893566653142614,0.4829634004206959,0.4806952514630194
yhdX,0.5123250590386449,0.4914447641250173,0.4954417068795806,0.4804086966400639,0.4907703138374319,0.4802385374712982,0.484697923845054,0.4795438444730041
WT,0.5418919836449906,0.5206387146775227,0.5262781026290587,0.5011633603092146,0.4956824223649639,0.4971780224393403,0.5062951311012133,0.5042177098662505
alr,0.5599021685176215,0.5567035542487737,0.5564048904149579,0.5514440557311725,0.542692173687034,0.5512012916863307,0.5495075682673071,0.5549587497517414
cbpM,0.5583019710526679,0.5466711953777169,0.5387723249456684,0.5327232624805701,0.5199959860796199,0.5162679480189794,0.514195534300242,0.5086927272031659
fixC,0.5550101020564229,0.5289474615598594,0.5404866994467485,0.5221448481098396,0.5142506745274605,0.5053732496386146,0.5062466011162795,0.50484110378744
hybG,0.5352962932886492,0.5058920354647077,0.5272754866230553,0.5201771844242644,0.5130019198119541,0.4894555474733036,0.5118315304213277,0.5021933039815095
hycA,0.8724654294990853,0.5316072840712901,0.5247967189916563,0.5298708407882021,0.5393457549392838,0.5246548783070221,0.5195663837343268,0.5159276800893652
nirC,0.5460395746973893,0.542040323797503,0.5447670201579268,0.5495596621921035,0.5425426944026661,0.5324048526605933,0.5281669232387868,0.5172031496396299
phnH,0.5098292919674497,0.541055942840355,0.5434556738323173,0.5292284619966788,0.5237146455285828,0.5141729759263728,0.5037164827774643,0.5098793085219373
ybda,0.5380485231026685,0.5306715475956518,0.5332860765135229,0.5160101258321326,0.5223006586733366,0.5050315757690912,0.5161900925061645,0.5043213790480287
ydcP,0.4885273910358847,0.4766089679816109,0.48430599326928897,0.4628526008057657,0.4717901684562173,0.4476328188670535,0.4578151507204878,0.4507805044899553
WT,0.7658007287012318,0.4653925162205298,0.4772373497827066,0.4614507687092037,0.4671164082712177,0.6133721609304246,0.464857627611392,0.4674959988950387
aqpZ,0.5053202818542084,0.4906217637633303,0.5000380598968378,0.4837264053847765,0.4874813556388128,0.4846720903324386,0.4775101461521577,0.4861349775283479
caiT,0.489280915649608,0.4835264716151768,0.4748111198158789,0.4778368791907201,0.4824891497255212,0.4764928577175165,0.4699299946145433,0.4774224109082893
nsrR,0.4657555152280338,0.4555127556947643,0.4610316281435145,0.4487410316639931,0.4576099933854966,0.4474094083085043,0.4462722112766703,0.4559463011973599
yafX,0.2932659021631272,0.30477945683796226,0.3043210648163757,0.3092279088802108,0.3053614468618129,0.31747214615848385,0.32379850119660913,0.3320339496219225
yagH,0.4829154114251126,0.475152905469948,0.4723169430292765,0.4701337892908436,0.4814571812726146,0.4788394455721701,0.4647199493211057,0.4684058092903556
ybgD,0.4635346079676108,0.4565023568631191,0.4562141114379248,0.44967452494877297,0.4445651246591276,0.4667670681248761,0.4459928391575807,0.2139407742153744
ydgT,0.4688768180670851,0.4536001112312829,0.4555991945634731,0.451159307469561,0.4659033459562187,0.4617559015781689,0.4601351980778881,0.4638024798106913
yiaW,0.486107398370161,0.4652031752470485,0.4734713829664437,0.4707584026225205,0.4513159588829068,0.494888668290384,0.4621044200383222,0.4526022091572257
yidH,0.4813800508102021,0.4603802707524162,0.4637335763439621,0.454318304185037,0.459769622703151,0.4557718054400969,0.4577688613885225,0.4572835297874993
WT,0.5036945423828286,0.4645098780899725,0.4849719671364916,0.478992973171214,0.4745075013824332,0.4499682519171506,0.5000849345549675,0.4629300889284595
fruR,0.4831023656554321,0.4815353778349068,0.4743358943385722,0.4760871954886399,0.4712872348382007,0.4725990633310786,0.4650030435135972,0.4747979294951675
hsIR,0.4850236866121173,0.4760486719024084,0.4888392060065886,0.4826847627250498,0.4868375254334171,0.4751880454345403,0.4787519556351227,0.473995964401901
mhpB,0.5192115036950812,0.5191808769826173,0.5035333510962683,0.5071005718251775,0.5106004813741932,0.5009375325350977,0.5042976275277747,0.4955769595538802
tdcE,0.4702346120918501,0.4689150985983919,0.4636230412212945,0.5112046612325931,0.4695188454165911,0.4554371800121591,0.4584095006920138,0.4573355490408954
ydjQ,0.4816745345994983,0.4769897712481582,0.4755681725424333,0.4662732282853954,0.4717214385066472,0.4574618342936875,0.4541595762810771,0.45426299426745703
yjgB,0.5058358733427525,0.4831375101564594,0.4808218313138359,0.4710049752954938,0.4352322702814511,0.4615229385762833,0.4637530887518246,0.4624316297381662
ykfl,0.5124698699104491,0.4851905982281587,0.4943946769278316,0.4856880890064514,0.4849908216658591,0.4837018578883826,0.4806706059350285,0.4810474861728751
yncI,0.4999387977501024,0.4913290839644137,0.5721655669402586,0.4780764315123462,0.46878182713361705,0.4296897173816499,0.4705280738433129,0.462626725821617
yoaF,0.4740898784877949,0.4881013753336307,0.4563001158464172,0.4535207806937264,0.4534856237450297,0.4553451975577386,0.4508220640690411,0.4565714162462834
WT,0.5201660849823478,0.5273497641663663,0.5144782566143813,0.5045139398258983,0.5030674179228393,0.4954280006573121,0.4951723643894449,0.5130308945966074
appA,0.5354344945744447,0.5194929208338792,0.5246885494452176,0.5058988582602818,0.5319318683653994,0.4898860782740515,0.4906799007523451,0.4772141146693357
appB,0.531708078357396,0.5310606064222833,0.5173892526171943,0.5180879575680938,0.5126885445988307,0.4980518482827299,0.5015098387051846,0.5025570244809259
crcA,0.5279807259260084,0.5363266625315187,0.5449451545238684,0.5342877576833582,0.5335986964302244,0.5441396982935194,0.531501145608053,0.5197275692006027
nagK,0.5414967704524479,0.5245066264973296,0.5397000247360618,0.5175467471449848,0.5236057919620943,0.515300349966972,0.5205840618257965,0.5199068809806738
sspA,0.5406445312494002,0.5534425204735888,0.538878451477944,0.5221568031120615,0.5253448584194387,0.519113452928709,0.5189544525548101,0.5210758044049301
