,Growth Rate,Lag Phase,mean_exp_dGFPdt,mean_sta_dGFPdt,dGFPdt_divide_OD_max
A1,0.0,3.668045131654875,0.0,0.0,0.0
A2,0.0,15.353816936593212,0.0,0.0,0.0
A3,0.0,11.805339716383841,0.0,0.0,0.0
A4,0.948802169015325,3.216837549350987,39.14728980344052,6.070271953069318,131.72157352396368
A5,0.9792280215164592,3.269216666354672,39.737886771722366,7.6069468959624995,119.71007299986852
A6,0.9380978521132267,3.19599118701212,38.95440527407936,5.940851539443763,141.05823060082
A7,0.0,3.801767026953165,0.0,0.0,0.0
A8,0.0,3.5073578029406,0.0,0.0,0.0
A9,0.0,4.072224503778813,0.0,0.0,0.0
A10,0.9747526459776287,3.360956340652308,38.40782614191683,7.2143975564871035,116.65775531035801
A11,0.9844810808404718,3.377280709399448,39.06146492735876,2.2248157578264984,131.28923291530478
A12,0.9301869165950493,3.2859081826289414,38.939794103399315,2.2844400563912255,101.57010453256592
B1,0.0,5.594917314136154,0.0,0.0,0.0
B2,0.0,1.6549572956265024,0.0,0.0,0.0
B3,0.0,5.472796781703963,0.0,0.0,0.0
B4,0.8458604065980666,2.9897294323752135,38.58068222055681,6.462300190585554,174.13007516614906
B5,0.8237889695331373,3.0330098615092433,36.127232263381735,5.891166376732584,115.22562617926229
B6,0.8191708300928846,2.9666678288522994,35.90525446316085,5.809490034236555,167.53805713625465
B7,0.0,1.1615733524662915,0.0,0.0,0.0
B8,0.0,1.0134913557787826,0.0,0.0,0.0
B9,0.0,7.063273054114447,0.0,0.0,0.0
B10,0.9455335133063744,3.244052477561123,53.84718483941026,-305.5626215280449,2277.3760386244426
B11,0.8074511501105667,3.024707935425055,134.39231770969724,-253.3717243582634,2071.7069820974416
B12,0.79528374894823,3.35770942847076,115.0733503454314,-244.00731926996056,2022.223450715912
C1,0.0,0.0,0.0,0.0,0.0
C2,0.0,4.349697946854022,0.0,0.0,0.0
C3,0.0,3.730847417508759,0.0,0.0,0.0
C4,0.8781811608698368,3.1251367452425534,35.465012027316014,-0.40143329170520475,121.62548888676947
C5,0.8762073648589253,3.2568903894844445,34.5801556489739,-1.3182323095767288,118.83456224497142
C6,0.8982105527186128,3.2339577821990586,32.630460817746695,-2.0949449430478047,120.58550964125848
C7,0.0,0.0,0.0,0.0,0.0
C8,0.4898457252453604,17.08537725565219,584.1079240055279,-1370.4390847248187,1033.559831219694
C9,0.47554497520979544,16.303504783495683,585.5592234290729,-1515.1921981684181,900.2686285424004
C10,0.8810589121856839,3.3730477346309415,493.4536787503729,-1744.312410849573,5032.948833086479
C11,0.837379520906606,3.2914140635023563,462.018358343062,-1642.173283518387,5001.3225535634365
C12,0.8760262454073074,3.327389352748736,562.4326855769046,-1735.259970119861,5252.931629597478
D1,0.0,2.797904347725254,0.0,0.0,0.0
D2,0.0,1.6446443051848014,0.0,0.0,0.0
D3,0.0,3.8911505582778254,0.0,0.0,0.0
D4,0.958048236855224,3.311045173173838,68.78676351966125,-355.3100292568885,1474.4839417603396
D5,0.9051324222350522,3.258598774870151,68.6255704032261,-368.7879984204581,1518.83368948121
D6,0.9337879165435482,3.325265003750107,68.23734573406588,-395.8448310337977,1506.1391541609876
D7,0.7030204797036304,8.080955699150433,775.1878011399947,30.317162898913498,1212.3205987580625
D8,0.6973009860419256,7.807534311364003,807.4682275862258,-27.354128565453742,1365.5934463707285
D9,0.7229443840536091,7.692880500758055,802.6822893881895,2.6906782380007073,1264.1681901279612
D10,0.8058448935629045,3.2239991752762895,1227.21638728862,-1882.9776492951553,6940.717900983212
D11,0.7997270555161955,3.214914274662778,1276.31840202263,-357.1663218622093,6862.77020498914
D12,0.8318395743226327,3.297371375106342,1406.1152856016326,-455.50400527747166,6794.5652057350835
E1,0.589339906854426,2.438547209389307,6.877416239393817,-312.04438397680354,998.1009583535687
E2,0.6485338553641589,5.855102260497601,840.1099631527305,-48.014963251365415,1157.7329945038634
E3,0.6012695835829377,6.009061164196556,794.10104679067,-43.73842747150716,1108.7616070607633
E4,0.835482043380514,3.1923842273053076,1956.1162335478539,-1329.9042275108013,6900.470892863305
E5,0.7952438331816055,2.9311998704615743,1921.6866911008956,-213.73274480740753,6769.4928520454205
E6,0.847840049976552,3.2248967009407044,1994.085404648169,-1152.1460359367381,6992.595383003549
E7,0.5794795235469835,5.296460174275834,901.4655351820713,-308.9286832829912,1216.9363433775716
E8,0.5641975970160322,5.075024432288618,996.223823763568,-544.0127025236642,1311.582381729192
E9,0.5585442024077544,4.9830719393846366,993.4108120268834,-495.5327682217069,1378.4692464895422
E10,0.7783804187866057,3.237702399405603,2330.767568668691,-806.2592472782926,6783.328980261953
E11,0.7675890889273674,3.233450913904427,2354.1088833675144,-712.2176065333531,7503.70566133129
E12,0.7638681477626523,3.1889128871875,2379.5856604022524,-774.8111862794124,7476.49718428754
F1,0.6998522267752764,3.127558039882147,769.2201198410938,-458.2337257207132,1011.7931408092718
F2,0.6717623456218581,3.1563986689792927,756.3600372665354,-353.38815092870027,1024.0880935994528
F3,0.6816823903569286,3.0577612067315734,729.1872617562113,-346.5055879185551,1014.7594252828598
F4,0.601728162559804,2.710151345424196,2764.6804271653477,-22689.15394073497,5209.554121181493
F5,0.6682040403714201,2.8262420000661534,2656.576366899443,-5878.901218006814,5336.797740078873
F6,0.6039217692816455,2.659679475386943,2752.786561346754,-991.0128613695118,5640.698944302895
F7,0.5514172936522207,3.7207972271409164,863.5549338959105,-300.99739319261823,1307.8920355051043
F8,0.5361440344835351,3.6822332537162437,928.5872754253598,-491.61715774748615,1401.7078064486072
F9,0.5849575171486237,3.832764455652751,904.5611200386262,-713.346672908849,1339.6619793284
F10,0.6700851539835716,3.0386582074250366,2750.1190671063564,-408.4078159402103,6373.009310791501
F11,0.638242558273555,3.105928134325988,2696.565126087748,-814.7882967001981,6175.117730807165
F12,0.6705900714582252,2.9982422628830947,2711.626160213614,-513.3915837849098,6632.404031123511
G1,0.659110104178424,4.268500987782378,760.1672884564215,-353.7842177658616,914.6067011144551
G2,0.647423359025016,3.99588593840654,799.0558313151387,-21.14585982694393,949.8402274926013
G3,0.609864105699281,4.18820054185325,818.4592592596459,-62.895257802101554,971.1937589954351
G4,0.5925057264450613,3.02363837977629,2937.1723660042194,-10184.85089848218,5152.132998745314
G5,0.6054035594719611,3.080672447725684,2898.353095737918,211.3727610979622,5051.866434466586
G6,0.5551153981913682,2.942573319619198,3080.257978843457,572.0248449553706,5668.109066263509
G7,0.5747322203081968,3.3691936327721357,891.7274164245943,-318.0105211791042,1367.9202944080482
G8,0.5728776665679328,3.280144018038871,950.4793868032491,-334.60833733053533,1473.9897365310724
G9,0.5759910558325483,3.3258773700666002,1044.2358876895398,-368.5725876550718,1552.1130997142482
G10,0.6124482194806928,2.9408401979998238,2930.8081788422523,-1538.8152089981706,6075.683919550113
G11,0.6110800103960323,3.0269701960774245,3090.3050153491295,-75.78746317508472,6399.096992663087
G12,0.5914264968283661,2.8806847861172704,3101.2726056057454,-41.73455140264607,6466.082634749399
H1,0.5963247872573653,5.265540740779597,913.5327903205243,-15.331773031144621,1055.2259095071206
H2,0.6256452047984602,5.248847494192184,1037.5483965469157,-10.51426684760505,1268.445308866437
H3,0.5623827586902846,4.765572494682411,1007.9368811902829,-10.313301937150861,1236.2637362637408
H4,0.6175250966779621,3.3351499103765274,3411.850095374517,-4957.415186389407,5455.134901480514
H5,0.6904546908057614,3.639553740679417,3044.115621709979,-4179.511406966299,5497.757385162677
H6,0.6218162145141682,3.505173388207183,3364.8299414579556,0.0,5419.030075325119
H7,0.5685763536347243,3.1166583801320824,944.2628793491893,-45.138739648277756,1422.5880467640368
H8,0.6156424994307926,3.314079489404145,1056.1533547612808,-74.4729774683645,1513.3028300288133
